NomCadre	IdCadre	NomJeuDonnees	IdJeuDonnees	TypeDonnees	Financeur	MaitreOuvrage	MaitreOeuvre	Fournisseur	Producteur	GestionnaireJdd	GestionnaireCadre	Lien
"Inventaires et suivis naturalistes de la RNN des prés salés d'Arès et de Lège-Cap Ferret - Plan de gestion 2016-2020"	ecc0e3f6-6a95-4d9d-acb5-e51bb25f2026	"Suivi de la faune aquatique des réservoirs à poissons"	4afc3a56-496e-44a2-8b1c-16b34e749d2a	Occurrence	"Agence de l'eau Adour-Garonne, CD 33, DREAL Nouvelle Aquitaine, OFB, ONCFS, Région Nouvelle Aquitaine, RNN Prés Salés Arès Lège"			"RNN Prés Salés Arès Lège"	"RNN Prés Salés Arès Lège"	"RNN Prés Salés Arès Lège"	"RNN Prés Salés Arès Lège"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/4afc3a56-496e-44a2-8b1c-16b34e749d2a
"Atlas de la Biodiversité Communales sur la Communauté de Commune de Montesquieu"	b4082133-da7a-4ac1-b4af-c7ce4235b497	"Inventaire amphibien protocolé"	bfb0e2b4-2847-47c2-978c-d7aa66b93c7d	Occurrence	"ComCom Montesquieu, OFB"	"ComCom Montesquieu"	"ComCom Montesquieu"	"Cistude Nature"	"Cistude Nature"	"Cistude Nature"	"ComCom Montesquieu"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/bfb0e2b4-2847-47c2-978c-d7aa66b93c7d
"Atlas de la Biodiversité Communales sur la Communauté de Commune de Montesquieu"	b4082133-da7a-4ac1-b4af-c7ce4235b497	"Données faune opportuniste récoltées en marge des protocoles Amphibien & Reptiles"	0200618f-0650-4e9a-ab4f-cc0042f632a1	Occurrence	"ComCom Montesquieu, OFB"	"ComCom Montesquieu"	"ComCom Montesquieu"	"Cistude Nature"	"Cistude Nature"	"Cistude Nature"	"ComCom Montesquieu"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/0200618f-0650-4e9a-ab4f-cc0042f632a1
"Atlas de la Biodiversité Communales sur la Communauté de Commune de Montesquieu"	b4082133-da7a-4ac1-b4af-c7ce4235b497	"Inventaire poisson protocolé"	90d4b6f4-e736-47da-b5c4-f496cdca9e68	Occurrence	"ComCom Montesquieu, OFB"	"ComCom Montesquieu"	"ComCom Montesquieu"	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	"ComCom Montesquieu"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/90d4b6f4-e736-47da-b5c4-f496cdca9e68
"Atlas de la Biodiversité Communales sur la Communauté de Commune de Montesquieu"	b4082133-da7a-4ac1-b4af-c7ce4235b497	"Inventaire écrevisse protocolé"	40f09439-a950-4d72-b370-c3de4c4602e0	Occurrence	"ComCom Montesquieu, OFB"	"ComCom Montesquieu"	"ComCom Montesquieu"	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	"ComCom Montesquieu"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/40f09439-a950-4d72-b370-c3de4c4602e0
"Réseau RCS"	956f953a-db80-4c7f-a7b2-bb20c995ba52	"Inventaire pêches scientifiques"	76bc7ec9-1494-49e4-b05b-cbdb56856e1a	Occurrence	OFB	OFB	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	"FDAAPPMA 33"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/76bc7ec9-1494-49e4-b05b-cbdb56856e1a
"Atlas de la Biodiversité Communale (ABC) de la Communauté de Communes de la Vallée de l'Homme (24)"	733328b2-706b-416b-a903-dfda0c8b70e5	"Observations faunistiques fortuites réalisées par le CEN Nouvelle-Aquitaine "	54e9b0eb-8a13-4808-abed-9fdb9f97ec71	Occurrence	OFB	CCVH	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/54e9b0eb-8a13-4808-abed-9fdb9f97ec71
"Atlas de la Biodiversité Communale de Villeneuve-sur-Lot (47)"	100bb039-1ef6-45af-a3f5-4712baed49ff	"Données opportunistes"	069f75fb-4782-495f-bf1d-12645bed52bb	Occurrence	"Commune de Villeneuve-sur-Lot, OFB"	"Commune de Villeneuve-sur-Lot, CPIE 47"	"CPIE 47"	"CPIE 47"	"CPIE 47"	"CPIE 47"	"CPIE 47"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/069f75fb-4782-495f-bf1d-12645bed52bb
"Atlas de la Biodiversité Communale (ABC) de la Communauté de Communes de la Vallée de l'Homme (24)"	733328b2-706b-416b-a903-dfda0c8b70e5	"Inventaire herpeto"	7fde91b2-320e-4da7-bc11-f758c2124961	Occurrence	OFB	CCVH	"CEN Nouvelle-Aquitaine"	"Cistude Nature"	"Cistude Nature"	"Cistude Nature"	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/7fde91b2-320e-4da7-bc11-f758c2124961
"Atlas de Biodiversité Communale d'Orx"	cc3343b7-b2a1-4663-8fac-d3fd9bad2eb8	"Totalité des inventaires faune"	235147e6-85f4-42b5-82a8-602803f5ba97	Occurrence	OFB	"Commune d'Orx"	"CPIE Seignanx & Adour"	"CPIE Seignanx & Adour"	"CPIE Seignanx & Adour"	"CPIE Seignanx & Adour"	"CPIE Seignanx & Adour"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/235147e6-85f4-42b5-82a8-602803f5ba97
"Atlas de la Biodiversité Communale (ABC) de Soustons"	d36e2bf8-8f15-4ce3-b024-537e070ae687	"Atlas de la Biodiversité Communale de Soustons - Inventaires participatifs"	e4b235a3-70be-4abc-acf2-c97dbf568370	Occurrence	"Commune de Soustons, OFB"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/e4b235a3-70be-4abc-acf2-c97dbf568370
"Atlas de la Biodiversité Communale (ABC) de Naves"	1b8ceaee-1df4-40fe-97ae-ec1255ca3d43	"Données des habitants de Naves"	78372637-bcf2-4f79-976f-6fc50941f00d	Occurrence	"Commune de Naves, OFB"	"Commune de Naves"	"Commune de Naves, CPIE Corrèze"	"Commune de Naves"	"Commune de Naves, CPIE Corrèze"	"Commune de Naves"	"Commune de Naves"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/78372637-bcf2-4f79-976f-6fc50941f00d
"Programme Life NaturArmy mené entre 2019 et 2024 par le CEN Nouvelle-Aquitaine sur le camp militaire de Montmorillon (860165001H) - DTIEBEB"	c7efeeb1-816c-45a8-ab92-a0bdd6d9e800	"Observations faunistiques fortuites réalisées par le CEN Nouvelle-Aquitaine (Life NaturArmy 860165001H - DTIEBEB)"	0db28d1f-610a-4ec1-af80-6d34f47b49c1	Occurrence	"CE-LIFE, Ministère des armées, OFB"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/0db28d1f-610a-4ec1-af80-6d34f47b49c1
"Atlas de la Biodiversité Communale (ABC) de la commune de Nérac (47)"	73bc90c8-b257-4a6a-87c8-e51c3b2c2254	"Prospections amphibiens - ABC communal - Nérac"	972fc5e0-5cf5-49df-81d1-b0570c33fd37	Occurrence	"Commune de Nérac, OFB"	"Commune de Nérac"	"CEN Nouvelle-Aquitaine, LPO Aquitaine, SEPANLOG - N2000"	"SEPANLOG - N2000"	"SEPANLOG - N2000"	"SEPANLOG - N2000"	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/972fc5e0-5cf5-49df-81d1-b0570c33fd37
"Atlas de la Biodiversité Communale (ABC) des sources du Salembre (Saint-Aquilin) (24)"	e46060e0-7bf8-4e03-ad62-7d9134979721	"Observations faunistiques (inventaire pour répartition) réalisées par le SMBI"	0470e187-e5be-4c41-b5e8-2ef37692bb40	Occurrence	OFB	"Syndicat mixte du Bassin de l'Isle"	"CEN Nouvelle-Aquitaine, Vya Natura"	"Syndicat mixte du Bassin de l'Isle"	"Syndicat mixte du Bassin de l'Isle"	"Syndicat mixte du Bassin de l'Isle"	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/0470e187-e5be-4c41-b5e8-2ef37692bb40
"Atlas de la Biodiversité Communales sur la Communauté de Commune du Grand Périgueux"	16f63d9d-3917-4eb5-91fd-a97edfab5e3f	"Observations faunistiques fortuites réalisées par le CEN Nouvelle-Aquitaine "	51f472f7-af76-4f29-8c5e-742c86ff7888	Occurrence	OFB	"Grand Périgueux"	"BIOTOPE, Syndicat mixte du Bassin de l'Isle"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"CEN Nouvelle-Aquitaine"	"Grand Périgueux"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/51f472f7-af76-4f29-8c5e-742c86ff7888
"Enquête nationale Écrevisses"	66d479ac-9f44-6001-e053-2614a8c0e861	"Enquête nationale Écrevisses"	71be71ce-f3c7-3d60-e053-2614a8c05752	Occurrence		AAMP		OFB		INPN	INPN	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/71be71ce-f3c7-3d60-e053-2614a8c05752
"Poissons d'eau douce de France métropolitaine"	4a9dda1f-b61a-3e13-e053-2614a8c02b7c	"Atlas des poissons d'eau douce de France métropolitaine (2001)"	4a9dda1f-b72b-3e13-e053-2614a8c02b7c	Occurrence		"INRAE, Ministère de la transition écologique et solidaire, MNHN, OFB, ONEMA"	"INRAE, OFB, SFI"	MNHN		INPN	INPN	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/4a9dda1f-b72b-3e13-e053-2614a8c02b7c
"Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB)"	840b3cb8-2525-3d41-e053-2614a8c0eb3f	"Données acquises selon le protocole de pêche complète à un ou plusieurs passages - ASPE - OFB"	84620625-2fca-0345-e053-2614a8c057ea	Occurrence	OFB	OFB	OFB	OFB	OFB	INPN	INPN	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/84620625-2fca-0345-e053-2614a8c057ea
"Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB)"	840b3cb8-2525-3d41-e053-2614a8c0eb3f	"Données piscicoles acquises selon le protocole de pêche partielle sur berges - ASPE - OFB"	845ac32d-06e2-50bc-e053-2614a8c08e54	Occurrence	OFB	OFB	OFB			INPN	INPN	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/845ac32d-06e2-50bc-e053-2614a8c08e54
"Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB)"	840b3cb8-2525-3d41-e053-2614a8c0eb3f	"Données acquises selon le protocole de pêche par ambiance - ASPE - OFB"	845a8b5c-fa09-50ba-e053-2614a8c07c38	Occurrence	OFB	OFB	OFB			INPN	INPN	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/845a8b5c-fa09-50ba-e053-2614a8c07c38
"Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB)"	840b3cb8-2525-3d41-e053-2614a8c0eb3f	"Données acquises selon le protocole de pêche partielle par points - ASPE - OFB"	84620625-2fcb-0345-e053-2614a8c057ea	Occurrence	OFB	OFB	OFB			INPN	INPN	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/84620625-2fcb-0345-e053-2614a8c057ea
"Programme d'observation naturaliste participative avec l'application mobile INPN Espèces"	8747e6c3-f957-40b5-e053-5014a8c0e696	"Application INPN Espèces: Observations naturalistes, participatives et opportunistes, fondées sur des photographies"	862fb4bc-e5a6-54dc-e053-5014a8c02001	Occurrence	"MNHN, OFB"	"UAR PatriNat"	"UAR PatriNat"	"UAR PatriNat"	"UAR PatriNat"	INPN	INPN	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/862fb4bc-e5a6-54dc-e053-5014a8c02001
"Stratégie en faveur de l’Écrevisse à pattes blanches en Centre-Val de Loire"	f1cf8b96-695c-6d5a-e053-0514a8c00eae	"Données Écrevisse à pattes blanches dans l'Indre 1975-1995 - FDAAPPMA36"	0e088b8a-cc0e-f215-e063-0514a8c09c57	Occurrence		OFB		OFB		INPN	INPN	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/0e088b8a-cc0e-f215-e063-0514a8c09c57
"Atlas de la Biodiversité Communale (ABC) des sources du Salembre (Saint-Aquilin) (24)"	e46060e0-7bf8-4e03-ad62-7d9134979721	"Observations faunistiques réalisées par Cistude Nature"	bd394192-fa40-42f2-85e2-ef762a1183e8	Occurrence	OFB	"Syndicat mixte du Bassin de l'Isle"	"CEN Nouvelle-Aquitaine, Vya Natura"	"Cistude Nature"	"Cistude Nature"	"Cistude Nature"	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/bd394192-fa40-42f2-85e2-ef762a1183e8
"Atlas de la Biodiversité Communales sur la Communauté de Commune du Grand Périgueux"	16f63d9d-3917-4eb5-91fd-a97edfab5e3f	"Observations faunistiques (inventaire pour répartition) réalisées par le SMBI"	6704376e-570d-4a29-9716-832a44a1a907	Occurrence	OFB	"Grand Périgueux"	"BIOTOPE, Syndicat mixte du Bassin de l'Isle"	"Syndicat mixte du Bassin de l'Isle"	"Syndicat mixte du Bassin de l'Isle"	"Syndicat mixte du Bassin de l'Isle"	"Grand Périgueux"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/6704376e-570d-4a29-9716-832a44a1a907
"Atlas de la Biodiversité Communale (ABC) de Castelnau-de-Médoc"	dfabe2f2-93a3-49c5-acf4-3b96844dbe56	"Inventaire de données opportunistes"	d9fcf1aa-9635-4866-b7a9-fb9b1c18363d	Occurrence	"Commune de Castelnau-de-Médoc, OFB"	"CPIE Médoc - CURUMA"	"CPIE Médoc - CURUMA"	"CPIE Médoc - CURUMA"	"CPIE Médoc - CURUMA"	"CPIE Médoc - CURUMA"	"CPIE Médoc - CURUMA"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/d9fcf1aa-9635-4866-b7a9-fb9b1c18363d
"Atlas des écrevisses du Limousin"	4b3ab8c6-9b34-4ec0-8cf7-e996c919908b	"Données de présence astacicoles du Limousin"	af43c56f-713b-493d-b360-2d9295da0889	Occurrence		"CD 19, DREAL Nouvelle Aquitaine, Région Nouvelle Aquitaine"	"FDAAPPMA 19, FDAAPPMA 23, FDAAPPMA 87, MEP 19, OFB, PNR Millevaches"	"FAUNA, MEP 19"	"ComCom Midi Corrézien, FDAAPPMA 19, FDAAPPMA 23, FDAAPPMA 87, MEP 19, OFB, PNR Millevaches"	"MEP 19"	"MEP 19"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/af43c56f-713b-493d-b360-2d9295da0889
"Atlas de la Biodiversité Communale (ABC) de Naves"	1b8ceaee-1df4-40fe-97ae-ec1255ca3d43	"données piscicoles APPMA/FD Pêcheurs 19"	ae0b22a6-97b9-4df1-8aa4-9e5e2f2d757a	Occurrence	"Commune de Naves, OFB"	"Commune de Naves"	"Commune de Naves, CPIE Corrèze"	"CPIE Corrèze"		"CPIE Corrèze"	"Commune de Naves"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/ae0b22a6-97b9-4df1-8aa4-9e5e2f2d757a
"Atlas de la Biodiversité Communales sur la Communauté de Commune du Grand Périgueux"	16f63d9d-3917-4eb5-91fd-a97edfab5e3f	"Inventaire de données herpétologique"	87a870cc-1134-496c-ba7f-4f4f6873d30c	Occurrence	OFB	"Grand Périgueux"	"BIOTOPE, Syndicat mixte du Bassin de l'Isle"	"Cistude Nature"	"Cistude Nature"	"Cistude Nature"	"Grand Périgueux"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/87a870cc-1134-496c-ba7f-4f4f6873d30c
"Atlas de la Biodiversité Communale (ABC) de Soustons"	d36e2bf8-8f15-4ce3-b024-537e070ae687	"Atlas de la Biodiversité Communale de Soustons - Inventaires participatifs"	a18d990d-c016-43a3-ad2e-5b50abf88b41	Occurrence	"Commune de Soustons, OFB"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/a18d990d-c016-43a3-ad2e-5b50abf88b41
"Atlas de la Biodiversité Communale (ABC) de Soustons"	d36e2bf8-8f15-4ce3-b024-537e070ae687	"Inventaire coléoptère"	24a68e64-560a-46d1-9034-4abd7d2bdf71	Occurrence	"Commune de Soustons, OFB"	"Commune de Soustons"	"Commune de Soustons"	"Commune de Soustons"	SLB	SLB	"Commune de Soustons"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/24a68e64-560a-46d1-9034-4abd7d2bdf71
"Atlas de la Biodiversité Communale (ABC) de la commune de Lahonce (64)"	df1a2f6c-c6a3-452e-bb3e-a5b40c2bade6	"Inventaire de données MIFENEC"	e8d2c54b-4d43-4fca-9578-7657bde948a1	Occurrence	OFB	"Commune de Lahonce"	"CEN Nouvelle-Aquitaine"	MIFENEC	MIFENEC	MIFENEC	"CEN Nouvelle-Aquitaine"	https://observatoire-fauna.fr/programmes/sinp/rechercher-metadonnees/fiche-jdd/e8d2c54b-4d43-4fca-9578-7657bde948a1
